V0	Vf	V_sent
4.779907	5.985272	6.000000	1076.000000
4.940719	5.968562	6.000000	1077.000000
5.191641	5.980183	6.000000	1078.000000
5.323218	5.992324	6.000000	1079.000000
5.580812	5.991565	6.000000	1080.000000
5.784186	5.991244	6.000000	1081.000000
6.178189	6.012702	6.000000	1082.000000
6.355888	5.997316	6.000000	1083.000000
6.578677	6.008573	6.000000	1084.000000
6.753018	5.997449	6.000000	1085.000000
6.948180	6.000203	6.000000	1086.000000
0.560117	6.177648	6.200000	1090.000000
1.188257	6.186392	6.200000	1093.000000
1.343367	6.185653	6.200000	1094.000000
1.942518	6.174447	6.200000	1097.000000
2.388900	6.183713	6.200000	1099.000000
2.756745	6.193155	6.200000	1101.000000
3.159382	6.177880	6.200000	1103.000000
3.366834	6.186910	6.200000	1104.000000
3.576275	6.164475	6.200000	1105.000000
3.764489	6.191323	6.200000	1106.000000
3.990546	6.181498	6.200000	1107.000000
4.155798	6.171880	6.200000	1108.000000
4.323732	6.165990	6.200000	1109.000000
4.559245	6.157044	6.200000	1110.000000
4.962024	6.182833	6.200000	1112.000000
5.130168	6.190849	6.200000	1113.000000
5.375114	6.153853	6.200000	1114.000000
5.779086	6.162208	6.200000	1116.000000
5.955459	6.166975	6.200000	1117.000000
6.578024	6.208192	6.200000	1119.000000
6.717624	6.194458	6.200000	1120.000000
6.933884	6.212122	6.200000	1121.000000
-0.001390	6.384423	6.400000	1122.000000
0.150635	6.392955	6.400000	1123.000000
0.780811	6.365362	6.400000	1126.000000
1.181414	6.377167	6.400000	1128.000000
1.362259	6.374854	6.400000	1129.000000
1.765802	6.363737	6.400000	1131.000000
1.980320	6.364102	6.400000	1132.000000
2.154595	6.387794	6.400000	1133.000000
2.355181	6.386922	6.400000	1134.000000
2.583467	6.383641	6.400000	1135.000000
2.976389	6.389937	6.400000	1137.000000
3.369346	6.388167	6.400000	1139.000000
3.781614	6.366888	6.400000	1141.000000
3.985848	6.378813	6.400000	1142.000000
4.355101	6.381051	6.400000	1144.000000
4.581954	6.387364	6.400000	1145.000000
4.934081	6.387144	6.400000	1147.000000
5.188792	6.384983	6.400000	1148.000000
5.362889	6.371573	6.400000	1149.000000
5.521421	6.377956	6.400000	1150.000000
5.976200	6.391651	6.400000	1152.000000
6.546075	6.397841	6.400000	1154.000000
6.772239	6.408307	6.400000	1155.000000
6.971685	6.400413	6.400000	1156.000000
0.365963	6.561512	6.600000	1159.000000
0.567252	6.581835	6.600000	1160.000000
0.947134	6.571533	6.600000	1162.000000
1.171148	6.588893	6.600000	1163.000000
1.350664	6.591700	6.600000	1164.000000
1.564450	6.582684	6.600000	1165.000000
2.343193	6.577407	6.600000	1169.000000
2.537871	6.578960	6.600000	1170.000000
3.184194	6.578263	6.600000	1173.000000
3.368543	6.584863	6.600000	1174.000000
3.789234	6.588901	6.600000	1176.000000
3.949023	6.568216	6.600000	1177.000000
4.189618	6.560505	6.600000	1178.000000
4.345908	6.590847	6.600000	1179.000000
4.975627	6.585955	6.600000	1182.000000
5.170393	6.590827	6.600000	1183.000000
5.557149	6.562400	6.600000	1185.000000
6.135210	6.579817	6.600000	1188.000000
6.361798	6.567836	6.600000	1189.000000
6.758480	6.618538	6.600000	1190.000000
6.940645	6.626022	6.600000	1191.000000
0.791586	6.767675	6.800000	1196.000000
0.950068	6.775828	6.800000	1197.000000
1.176799	6.775160	6.800000	1198.000000
1.575463	6.767895	6.800000	1200.000000
1.788981	6.779316	6.800000	1201.000000
2.191111	6.772142	6.800000	1203.000000
2.385234	6.782801	6.800000	1204.000000
2.590336	6.766247	6.800000	1205.000000
2.758366	6.780620	6.800000	1206.000000
2.964452	6.776941	6.800000	1207.000000
3.190943	6.767811	6.800000	1208.000000
3.382779	6.781295	6.800000	1209.000000
3.562099	6.778446	6.800000	1210.000000
3.769854	6.774567	6.800000	1211.000000
3.973339	6.779096	6.800000	1212.000000
4.372191	6.769064	6.800000	1214.000000
4.559259	6.770847	6.800000	1215.000000
4.955655	6.774671	6.800000	1217.000000
5.178445	6.777941	6.800000	1218.000000
5.543455	6.781348	6.800000	1220.000000
5.772725	6.784213	6.800000	1221.000000
6.179115	6.771427	6.800000	1223.000000
6.370686	6.782875	6.800000	1224.000000
6.546590	6.774546	6.800000	1225.000000
0.000625	6.978034	7.000000	1227.000000
0.165032	6.984151	7.000000	1228.000000
0.347610	6.982926	7.000000	1229.000000
0.552529	6.990363	7.000000	1230.000000
1.353365	6.963934	7.000000	1234.000000
1.791489	6.969983	7.000000	1236.000000
2.190011	6.990447	7.000000	1238.000000
2.341760	6.983901	7.000000	1239.000000
2.586011	6.968497	7.000000	1240.000000
2.769564	6.964822	7.000000	1241.000000
2.987445	6.988318	7.000000	1242.000000
3.157527	6.983791	7.000000	1243.000000
3.387818	6.977803	7.000000	1244.000000
3.789355	6.981863	7.000000	1246.000000
3.990746	6.958422	7.000000	1247.000000
4.168807	6.965712	7.000000	1248.000000
4.336141	6.972167	7.000000	1249.000000
4.557986	6.978554	7.000000	1250.000000
4.965586	6.983308	7.000000	1252.000000
5.189366	6.958960	7.000000	1253.000000
5.756262	6.973503	7.000000	1256.000000
5.950112	6.978800	7.000000	1257.000000
6.155798	6.972533	7.000000	1258.000000
6.332125	6.962137	7.000000	1259.000000
6.570488	6.968625	7.000000	1260.000000
6.762294	6.977630	7.000000	1261.000000
