V0	Vf	V_sent	D	dt	triple_id	considered_samples
2.480000	3.200000	3.200000	654.400000	0.001506	332.000000	0.000000	1.000000
2.640000	3.200000	3.200000	512.400000	0.001002	333.000000	0.000000	1.000000
2.880000	3.200000	3.200000	410.400000	0.000513	334.000000	0.000000	1.000000
3.040000	3.200000	3.200000	244.400000	0.000500	335.000000	0.000000	1.000000
3.440000	3.200000	3.200000	198.800000	0.000501	336.000000	0.000000	1.000000
3.680000	3.200000	3.200000	340.000000	0.000484	337.000000	0.000000	1.000000
3.840000	3.200000	3.200000	562.800000	0.001012	338.000000	0.000000	1.000000
4.080000	3.200000	3.200000	720.000000	0.000472	339.000000	0.000000	1.000000
0.000000	3.360000	3.400000	1411.200000	0.003010	340.000000	0.000000	1.000000
0.240000	3.360000	3.400000	1411.600000	0.003000	341.000000	0.000000	1.000000
0.480000	3.360000	3.400000	1405.600000	0.004487	342.000000	0.000000	1.000000
0.640000	3.360000	3.400000	1383.600000	0.003021	343.000000	0.000000	1.000000
