V0	Vf	V_sent	D	dt
0.032057	0.020448	0.000000	5.844396	0.014047	415.000000
0.018478	0.005040	0.000000	10.055331	0.019081	416.000000
0.011064	0.022202	0.000000	13.721391	0.009487	417.000000
0.025820	0.002954	0.000000	2.734615	0.014572	418.000000
0.009647	0.024801	0.000000	2.016965	0.013529	419.000000
0.046196	0.020729	0.000000	2.342717	0.022480	420.000000
0.000759	0.006410	0.000000	6.968970	0.014796	421.000000
0.000459	0.013164	0.000000	10.256304	0.008710	422.000000
0.000842	0.003825	0.000000	12.022928	0.014474	423.000000
0.007366	0.019468	0.000000	15.969906	0.265673	424.000000
0.001068	0.001634	0.000000	15.158174	0.003371	425.000000
0.000732	0.010044	0.000000	25.679572	0.008649	426.000000
0.017023	0.007329	0.000000	31.071932	0.018082	427.000000
0.022040	0.015609	0.000000	19.655839	0.015376	428.000000
0.012356	0.022580	0.000000	31.316393	0.009233	429.000000
0.040111	0.019408	0.000000	9.841688	0.016770	430.000000
0.000737	0.007092	0.000000	30.789780	0.009866	431.000000
0.001138	0.020086	0.000000	19.464921	0.014433	432.000000
0.027292	0.014303	0.000000	50.324090	0.013579	433.000000
0.015897	0.000769	0.000000	27.025905	0.013659	434.000000
0.005499	0.002117	0.000000	48.143687	0.010360	435.000000
0.000362	0.018392	0.000000	25.648896	0.015515	436.000000
0.013389	0.022341	0.000000	56.789816	0.022481	437.000000
0.037014	0.013723	0.000000	19.490403	0.006928	438.000000
0.008560	0.020024	0.000000	47.646370	0.014540	439.000000
0.000032	0.004906	0.000000	0.073077	0.021129	440.000000
0.047286	0.010283	0.000000	95.598402	0.094946	441.000000
0.005956	0.008584	0.000000	9.615428	0.017105	442.000000
0.029466	0.011164	0.000000	6.016720	0.010392	443.000000
0.000291	0.026449	0.000000	10.939135	0.020960	444.000000
0.034033	0.023127	0.000000	15.072336	0.014054	445.000000
0.029495	0.026920	0.000000	17.856613	0.017524	446.000000
0.020452	0.011126	0.000000	20.698171	0.009227	447.000000
0.013722	0.020224	0.000000	19.422859	0.010397	448.000000
0.008026	0.022852	0.000000	23.770080	0.006335	449.000000
0.025360	0.002675	0.000000	12.506807	0.001729	450.000000
0.001081	0.008055	0.000000	31.680505	0.009919	451.000000
0.019241	0.020700	0.000000	25.237034	0.002649	452.000000
0.032576	0.011097	0.000000	28.813354	0.006241	453.000000
0.004440	0.005977	0.000000	28.994400	0.008548	454.000000
0.035021	0.004650	0.000000	33.781775	0.011271	455.000000
0.003580	0.028603	0.000000	36.763661	0.023451	456.000000
0.005095	0.019153	0.000000	33.392079	0.018196	457.000000
0.014346	0.004615	0.000000	73.695496	0.009718	458.000000
0.026741	0.010302	0.000000	29.971873	0.008384	459.000000
0.001533	0.015295	0.000000	4.914493	0.022554	460.000000
0.027839	0.012843	0.000000	5.593157	0.018263	461.000000
0.000806	0.010789	0.000000	10.722859	0.015007	462.000000
