V0	Vf	V_sent	D	dt
-0.773782	-1.381980	-1.400000	160.982234	0.153333	275.000000
-0.557702	-1.363837	-1.400000	155.084812	0.176003	276.000000
-0.362903	-1.375411	-1.400000	148.241632	0.194335	277.000000
-0.149378	-1.365869	-1.400000	127.857449	0.214572	278.000000
-0.000274	-1.382219	-1.400000	124.829275	0.231001	279.000000
-3.975579	-1.194740	-1.200000	777.517293	0.276332	280.000000
-3.792194	-1.239689	-1.200000	727.543844	0.238091	281.000000
-3.572311	-1.229931	-1.200000	637.984843	0.238335	282.000000
-3.327559	-1.206650	-1.200000	588.405619	0.232660	283.000000
-3.156460	-1.208114	-1.200000	559.851298	0.231260	284.000000
-2.992416	-1.209065	-1.200000	484.568909	0.207665	285.000000
-2.791748	-1.217049	-1.200000	472.570658	0.204764	286.000000
-2.577503	-1.201631	-1.200000	400.238475	0.193000	287.000000
-2.372346	-1.208124	-1.200000	356.076396	0.177671	288.000000
-2.191692	-1.201443	-1.200000	328.983938	0.171666	289.000000
-1.969842	-1.220924	-1.200000	278.046809	0.157668	290.000000
-1.777201	-1.208551	-1.200000	236.678721	0.149332	291.000000
-1.591952	-1.205576	-1.200000	197.634313	0.135333	292.000000
-1.388416	-1.214438	-1.200000	160.512263	0.115002	293.000000
-0.988885	-1.177509	-1.200000	130.637400	0.124663	294.000000
-0.757359	-1.177296	-1.200000	129.967363	0.144338	295.000000
-0.569299	-1.181018	-1.200000	136.365657	0.168009	296.000000
-0.389305	-1.168478	-1.200000	121.316094	0.172332	297.000000
-0.169796	-1.170698	-1.200000	107.869187	0.195338	298.000000
0.000076	-1.171707	-1.200000	88.525433	0.209890	299.000000
-3.979658	-1.019858	-1.000000	778.513102	0.272331	300.000000
-3.770641	-1.009501	-1.000000	712.275126	0.267331	301.000000
-3.591620	-1.015626	-1.000000	658.260620	0.257348	302.000000
-3.368354	-1.006739	-1.000000	614.045675	0.245665	303.000000
-3.166290	-1.014128	-1.000000	578.597534	0.228662	304.000000
-2.977997	-1.013795	-1.000000	483.402466	0.220718	305.000000
-2.792626	-1.034970	-1.000000	464.067118	0.205669	306.000000
-2.591733	-1.005393	-1.000000	417.203857	0.209333	307.000000
-2.389557	-1.010688	-1.000000	388.122762	0.199996	308.000000
-2.171539	-1.000478	-1.000000	321.618459	0.187003	309.000000
-1.973258	-1.016202	-1.000000	271.925405	0.162999	310.000000
-1.792501	-1.013765	-1.000000	238.026937	0.158003	311.000000
-1.591037	-1.011126	-1.000000	209.810120	0.153670	312.000000
-1.389784	-1.013285	-1.000000	170.748784	0.133166	313.000000
-1.172199	-1.018088	-1.000000	136.037389	0.115666	314.000000
-0.789460	-0.971601	-1.000000	101.879402	0.113999	315.000000
-0.592041	-0.976464	-1.000000	101.831980	0.137665	316.000000
-0.371947	-0.973705	-1.000000	95.189425	0.153667	317.000000
-0.150907	-0.971646	-1.000000	82.094147	0.172406	318.000000
0.000011	-0.970397	-1.000000	67.444482	0.195003	319.000000
-3.946205	-0.807134	-0.800000	775.156799	0.291999	320.000000
-3.770528	-0.825038	-0.800000	719.642049	0.277666	321.000000
-3.581312	-0.809376	-0.800000	694.957865	0.275902	322.000000
-3.351528	-0.809370	-0.800000	638.246826	0.258722	323.000000
-3.185125	-0.814536	-0.800000	534.134542	0.245190	324.000000
-2.963376	-0.829246	-0.800000	942.413859	0.265453	325.000000
-2.754618	-0.803524	-0.800000	456.259003	0.235000	326.000000
-2.579550	-0.825480	-0.800000	403.407430	0.206333	327.000000
-2.389933	-0.827064	-0.800000	379.647024	0.196664	328.000000
-2.188127	-0.811733	-0.800000	322.869212	0.182905	329.000000
-1.988625	-0.802521	-0.800000	285.380910	0.181332	330.000000
-1.765866	-0.814797	-0.800000	250.203629	0.165326	331.000000
-1.562065	-0.828206	-0.800000	212.815796	0.147621	332.000000
-1.381926	-0.804578	-0.800000	180.319621	0.143668	333.000000
-1.190648	-0.810995	-0.800000	141.307421	0.125331	334.000000
-0.987856	-0.829787	-0.800000	116.744301	0.118337	335.000000
-0.577746	-0.766593	-0.800000	73.753995	0.117669	336.000000
-0.387899	-0.777597	-0.800000	76.330211	0.148336	337.000000
-0.188798	-0.770353	-0.800000	58.334397	0.153763	338.000000
0.000480	-0.780333	-0.800000	50.513859	0.177332	339.000000
-3.982417	-0.603650	-0.600000	752.016276	0.305489	340.000000
-3.791958	-0.615620	-0.600000	738.694235	0.292003	341.000000
-3.552194	-0.614014	-0.600000	646.822938	0.272998	342.000000
-3.353756	-0.625360	-0.600000	614.856059	0.267327	343.000000
-3.187300	-0.621994	-0.600000	540.318380	0.250190	344.000000
-2.974975	-0.628686	-0.600000	510.942729	0.240333	345.000000
-2.790417	-0.612179	-0.600000	469.722127	0.234999	346.000000
-2.559845	-0.623631	-0.600000	414.181264	0.230000	347.000000
-2.392195	-0.601011	-0.600000	383.951070	0.219663	348.000000
-2.176668	-0.603668	-0.600000	341.481374	0.209676	349.000000
-1.991158	-0.633790	-0.600000	300.906423	0.189333	350.000000
-1.767469	-0.604902	-0.600000	255.579275	0.180334	351.000000
-1.544169	-0.608023	-0.600000	217.478806	0.176000	352.000000
-1.389587	-0.610367	-0.600000	187.067266	0.162666	353.000000
-1.125751	-0.608387	-0.600000	147.408758	0.149862	354.000000
-0.964763	-0.611584	-0.600000	119.994527	0.129668	355.000000
-0.788699	-0.619461	-0.600000	91.748533	0.119264	356.000000
-0.390981	-0.570680	-0.600000	57.921469	0.131336	357.000000
-0.188334	-0.580082	-0.600000	48.270708	0.147336	358.000000
0.000266	-0.573363	-0.600000	28.028741	0.158863	359.000000
-3.992502	-0.414838	-0.400000	761.238363	0.307327	360.000000
-3.778810	-0.409619	-0.400000	738.432475	0.307667	361.000000
-3.572040	-0.417683	-0.400000	696.044902	0.296674	362.000000
-3.379817	-0.412120	-0.400000	614.774943	0.286374	363.000000
-3.192610	-0.420427	-0.400000	573.077759	0.266331	364.000000
-2.974956	-0.419100	-0.400000	506.063924	0.260667	365.000000
-2.780166	-0.411344	-0.400000	464.970256	0.253337	366.000000
-2.584319	-0.417211	-0.400000	398.155935	0.237343	367.000000
-2.392094	-0.413137	-0.400000	383.076131	0.225660	368.000000
-2.143328	-0.427359	-0.400000	332.550639	0.214038	369.000000
